"Year","SizeGroup","Metric","Mean","SD","Min","Q1","Med","Q3","Max"
2020,"Small","PTE",0.967786931976244,0.033381243111967,0.911835395367568,0.938708675628722,0.975961223073418,1,1
2020,"Small","PTE_bc",0.948518292605877,0.0282462577545272,0.89627662553983,0.925606090226487,0.960349288338244,0.972191300469826,0.982235738528518
2020,"Small","PTE_ci_high",0.966804160400773,0.0334059800264583,0.911042072984388,0.937382603974816,0.974978686602717,0.998807982823263,0.999601419436511
2020,"Small","PTE_ci_low",0.921601033550541,0.0271575787842504,0.867061736903793,0.899831424865127,0.920315859583123,0.941733735720399,0.966495960706865
2020,"Small","SE",0.979410484728301,0.021715783283316,0.913374528979941,0.970197068108375,0.98236528233924,0.998839677663433,1
2020,"Small","TE",0.947969778760632,0.0415236351694864,0.861151278528381,0.919140459681504,0.957197213118498,0.980823016556954,1
2020,"Small","TE_bc",0.928305963783087,0.0366938847181877,0.845116586322116,0.906187866321551,0.941696849529866,0.95538945065039,0.979074807449877
2020,"Small","TE_ci_high",0.946513906714262,0.0414472561040309,0.860383067781689,0.918301175763085,0.955531048042534,0.979599335822058,0.999198614516317
2020,"Small","TE_ci_low",0.908053110316463,0.0350541547623891,0.822158710488807,0.893718488220051,0.91056140276451,0.932658710500219,0.958315302028913
2020,"Medium","AE",0.895120412117062,0.0502093966104057,0.781136459092465,0.867601140219183,0.891985584390244,0.931789879033093,1.00000000000002
2020,"Medium","EE",0.859790484931558,0.0668416214729219,0.752914843244898,0.811534604290356,0.851305213183223,0.893711185831851,1.00000000000002
2020,"Medium","PTE",0.960042222293203,0.0395764869822184,0.876780933034293,0.936909950373145,0.963871081013995,1,1
