"Year","Hospital","SizeGroup","TE","PTE","SE","EE","AE","TE_bc","PTE_bc","TE_ci_low","TE_ci_high","PTE_ci_low","PTE_ci_high"
2019,"H020","Large",0.868676394602105,0.868828597577973,0.999824818178992,0.75185268935358,0.865363653371349,0.85875673361419,0.854663445449457,0.848089611333266,0.867049410018176,0.836604958575819,0.86772619247445
2019,"H021","Small",0.990419500288645,0.992554753422247,0.997848730131774,0.85266351337424,0.859059422600443,0.97108486977232,0.973639998177258,0.941713881029679,0.98954033781823,0.940930427658291,0.990798475437236
2019,"H022","Large",0.984317957808287,0.993509605801052,0.99074830485876,0.84184921499546,0.847348843010622,0.963771367780176,0.966417344236054,0.941351085334431,0.982207378111382,0.901227164324715,0.991569507619381
2019,"H023","Large",0.940116844472099,1,0.940116844472099,0.999999999999999,0.999999999999999,0.912573163718983,0.962825892192223,0.869731427791667,0.938839283873778,0.927009567352321,0.997738053034335
2019,"H024","Large",0.869736607025052,0.871966835923297,0.997442300777548,0.775374140535455,0.88922434729348,0.857962059446283,0.860665096984978,0.846184618491917,0.867948392747524,0.845633895788677,0.871515760538866
2019,"H025","Medium",0.947864668106614,0.94950459408262,0.998272861462465,0.850345923481398,0.895567992804684,0.93556195733024,0.936068444653849,0.925085465099387,0.946622010818843,0.920843834253481,0.94844807397045
2019,"H026","Large",0.840515603097254,0.84587039477517,0.99366948919008,0.798632394242203,0.944154564547063,0.826323233312485,0.82986939019616,0.815581411294487,0.838700937373914,0.808824096597819,0.84469954300046
2019,"H027","Medium",0.957665698517369,0.96226363717856,0.995221747467594,0.843810357265462,0.87690142769978,0.935173145122483,0.939796719106884,0.910130335540394,0.955339598341085,0.910369759032552,0.96054578448539
2019,"H028","Small",0.816149176449996,0.880753247427236,0.926649068662586,0.795687592108701,0.903417153933841,0.805910989314841,0.867447227717336,0.797268523056673,0.813010871826791,0.851430844428653,0.879867264554633
2019,"H029","Large",1,1,1,0.999999999999998,0.999999999999998,0.970104065313199,0.96903276609855,0.934882315790315,0.996764196419372,0.927418930630349,0.99882745250236
2019,"H030","Small",0.938951462469286,1,0.938951462469286,0.923944489790305,0.923944489790305,0.917749444329348,0.97097167750638,0.897884264858476,0.936787878345403,0.926443687789792,0.999193669033247
2019,"H031","Medium",1,1,1,0.953763239236856,0.953763239236856,0.981992914853124,0.97814978233579,0.969831916629658,0.997402819731651,0.955967739697526,0.998461862969755
2019,"H032","Medium",0.88965133916862,0.897896300053686,0.990817468693686,0.811295486088107,0.903551430203687,0.876071628657377,0.885035176628505,0.863452824164502,0.888458167990302,0.86789286704047,0.896606459182812
2019,"H033","Small",0.971418678429365,1,0.971418678429365,0.855448921538506,0.855448921538506,0.944788480591939,0.969338836881584,0.917933548628073,0.969261357130303,0.923260972358531,0.999058333577616
